eunis_level,eunis_code,eunis_name,raster_value
1,M,Marine benthic habitats,10000
2,MA1,Littoral rock,10100
3,MA11,Arctic littoral rock,10101
3,MA12,Atlantic littoral rock,10102
3,MA13,Baltic hydrolittoral rock,10103
3,MA14,Black sea littoral rock,10104
3,MA15,Mediterranean littoral rock,10105
2,MA2,Littoral biogenic habitat,10200
3,MA21,Arctic Littoral biogenic habitat,10201
3,MA22,Atlantic littoral biogenic habitat,10202
3,MA23,Baltic hydrolittoral biogenic habitat,10203
3,MA24,Black sea littoral biogenic habitat,10204
3,MA25,Mediterranean littoral biogenic habitat,10205
2,MA3,Littoral coarse sediment,10300
3,MA31,Arctic littoral coarse sediment,10301
3,MA32,Atlantic littoral coarse sediment,10302
3,MA33,Baltic hydrolittoral coarse sediment,10303
3,MA34,Black sea littoral coarse sediment,10304
3,MA35,Mediterranean littoral coarse sediment,10305
2,MA4,Littoral mixed sediment,10400
3,MA41,Arctic littoral mixed sediment,10401
3,MA42,Atlantic littoral mixed sediment,10402
3,MA43,Baltic hydrolittoral mixed sediment,10403
3,MA44,Black Sea littoral mixed sediment,10404
3,MA45,Mediterranean littoral mixed sediment,10405
2,MA5,Littoral sand,10500
3,MA51,Arctic littoral sand,10501
3,MA52,Atlantic littoral sand,10502
3,MA53,Baltic hydrolittoral sand,10503
3,MA54,Black sea littoral sand,10504
3,MA55,Mediterranean littoral sand,10505
2,MA6,Littoral mud,10600
3,MA61,Arctic littoral mud,10601
3,MA62,Atlantic littoral mud,10602
3,MA63,Baltic hydrolittoral mud,10603
3,MA64,Black Sea littoral mud,10604
3,MA65,Mediterranean littoral mud,10605
2,MB1,Infralittoral rock,10700
3,MB11,Arctic infralittoral rock,10701
3,MB12,Atlantic infralittoral rock,10702
3,MB13,Baltic infralittoral rock,10703
3,MB14,Black Sea infralittoral rock,10704
3,MB15,Mediterranean infralittoral rock,10705
2,MB2,Infralittoral biogenic habitat,10800
3,MB21,Arctic infralittoral biogenic habitat,10801
3,MB22,Atlantic infralittoral biogenic habitat,10802
3,MB23,Baltic infralittoral biogenic habitat,10803
3,MB24,Black Sea infralittoral biogenic habitat,10804
3,MB25,Mediterranean infralittoral biogenic habitat,10805
2,MB3,Infralittoral coarse sediment,10900
3,MB31,Arctic infralittoral coarse sediment,10901
3,MB32,Atlantic infralittoral coarse sediment,10902
3,MB33,Baltic infralittoral coarse sediment,10903
3,MB34,Black Sea infralittoral coarse sediment,10904
3,MB35,Mediterranean infralittoral coarse sediment,10905
2,MB4,infralittoral mixed sediment,11000
3,MB41,Arctic infralittoral mixed sediment,11001
3,MB42,Atlantic infralittoral mixed sediment,11002
3,MB43,Baltic infralittoral mixed sediment,11003
3,MB44,Black Sea infralittoral mixed sediment,11004
3,MB45,Mediterranean infralittoral mixed sediment,11005
2,MB5,Infralittoral sand,11100
3,MB51,Arctic infralittoral sand,11101
3,MB52,Atlantic infralittoral sand,11102
3,MB53,Baltic infralittoral sand,11103
3,MB54,Black Sea infralittoral sand,11104
3,MB55,Mediterranean infralittoral sand,11105
2,MB6,Infralittoral mud,11200
3,MB61,Arctic infralittoral mud,11201
3,MB62,Atlantic infralittoral mud,11202
3,MB63,Baltic infralittoral mud,11203
3,MB64,Black Sea infralittoral mud,11204
3,MB65,Mediterranean infralittoral mud,11205
2,MC1,Circalittoral rock,11300
3,MC11,Arctic circalittoral rock,11301
3,MC12,Atlantic circalittoral rock,11302
3,MC13,Baltic ciralittoral rock,11303
3,MC14,Black Sea circalittoral rock,11304
3,MC15,Mediterranean circalittoral rock,11305
2,MC2,Circalittoral biogenic habitat,11400
3,MC21,Arctic circalittoral biogenic habitat,11401
3,MC22,Atlantic circalittoral biogenic habitat,11402
3,MC23,Baltic circalittoral biogenic habitat,11403
3,MC24,Black Sea circalittoral biogenic habitat,11404
3,MC25,Mediterranean circalittoral biogenic habitat,11405
2,MC3,Circalittoral coarse sediment,11500
3,MC31,Arctic circalittoral coarse sediment,11501
3,MC32,Atlantic circalittoral coarse sediment,11502
3,MC33,Baltic circalittoral coarse sediment,11503
3,MC34,Black Sea circalittoral coarse sediment,11504
3,MC35,Mediterranean circalittoral coarse sediment,11505
2,MC4,Circalittoral mixed sediment,11600
3,MC41,Arctic circalittoral mixed sediment,11601
3,MC42,Atlantic circalittoral mixed sediment,11602
3,MC43,Baltic circalittoral mixed sediment,11603
3,MC44,Black Sea circalittoral mixed sediment,11604
3,MC45,Mediterranean circalittoral mixed sediment,11605
2,MC5,Circalittoral sand,11700
3,MC51,Arctic circalittoral sand,11701
3,MC52,Atlantic circalittoral sand,11702
3,MC53,Baltic circalittoral sand,11703
3,MC54,Black Sea circalittoral sand,11704
3,MC55,Mediterranean circalittoral sand,11705
2,MC6,Circalittoral mud,11800
3,MC61,Arctic circalittoral mud,11801
3,MC62,Atlantic circalittoral mud,11802
