field_1,MGRSid10,center_lon,center_lat,grid20id,Longitude,Latitude,ESy1,Location_u,Releve_are,PlantBert1,PlantBert2,SurveyID,year,FIRST_shor
15515,34TCP93910313,19.690522200000000,43.373587299999997,34σCP40,19.690500000000000,43.373556000000001,V38,3.000000000000000,16.000000000000000,T1H,V38,EVA2025_1196154,2014,alpine
278641,34TCN83879262,19.568851400000000,43.277492899999999,34σCN44,19.568890000000000,43.277500000000003,Q41,3.000000000000000,16.000000000000000,Q41,Q43,EVA2025_807890,2014,alpine
278642,34TCN83419300,19.563103500000000,43.280842600000000,34σCN44,19.563060000000000,43.280830000000002,Q41,2.000000000000000,16.000000000000000,Q41,Q43,EVA2025_807891,2014,alpine
226493,34TFP45520063,22.795445200000000,43.344478500000001,34σFP20,22.795390000000001,43.344479999999997,R,5.000000000000000,24.000000000000000,S23,S31,EVA2025_499950,2012,alpine
278349,34TFP36310645,22.683313099999999,43.398589200000004,34σFP10,22.683350000000001,43.398632999999997,R,10.000000000000000,16.000000000000000,R56,R23,EVA2025_787296,2021,alpine
278335,34TFP36320615,22.683361800000000,43.395887199999997,34σFP10,22.683388999999998,43.395882999999998,R56,10.000000000000000,16.000000000000000,R56,V38,EVA2025_787281,2020,alpine
278365,34TFP36270611,22.682734700000001,43.395536200000002,34σFP10,22.682725000000001,43.395567000000000,R43,10.000000000000000,4.000000000000000,R43,U22,EVA2025_787314,2021,alpine
278346,34TFP36280620,22.682880500000000,43.396344499999998,34σFP10,22.682911000000001,43.396321999999998,R56,10.000000000000000,16.000000000000000,R56,R55,EVA2025_787293,2021,alpine
278363,34TFP36290619,22.683001500000000,43.396252599999997,34σFP10,22.682957999999999,43.396281000000002,R35,10.000000000000000,16.000000000000000,R35,R55,EVA2025_787312,2021,alpine
278369,34TFP36300641,22.683179700000000,43.398230900000001,34σFP10,22.683228000000000,43.398268999999999,S22,10.000000000000000,16.000000000000000,S22,S11,EVA2025_787322,2021,alpine
278334,34TFP36320618,22.683369299999999,43.396157199999998,34σFP10,22.683385999999999,43.396146999999999,S22,10.000000000000000,16.000000000000000,S22,R43,EVA2025_787280,2020,alpine
278336,34TFP36330613,22.683480200000002,43.395705300000003,34σFP10,22.683453000000000,43.395741999999998,Pa,10.000000000000000,4.000000000000000,R57,U37,EVA2025_787282,2020,alpine
