PlotObservationID	GIVD_ID	Dataset	Continent	Country	Biome	Date_of_recording	Latitude	Longitude	Location_uncertainty	Releve_area	Plant_recorded	Elevation	Aspect	Slope	is_forest	ESY	Naturalness	Forest	Shrubland	Grassland	Wetland	Sparse_vegetation	Cover_total	Cover_tree_layer	Cover_shrub_layer	Cover_herb_layer	Cover_moss_layer	Cover_lichen_layer	Cover_algae_layer	Cover_litter_layer	Cover_bare_rocks	Cover_cryptogams	Cover_bare_soil	Height_trees_highest	Height_trees_lowest	Height_shrubs_highest	Height_shrubs_lowest	Height_herbs_average	Height_herbs_lowest	Height_herbs_highest	SoilClim_PC1	SoilClim_PC2	Resample_1	Resample_2	Resample_3	Resample_1_consensus
225924	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1951-07-01	43.18028	22.17611	2	30	Not specified	1710	360	NA	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.249	1.285	FALSE	TRUE	FALSE	FALSE
225933	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1951-07-01	43.18028	22.17611	2	40	Not specified	1690	315	20	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.249	1.285	FALSE	TRUE	FALSE	TRUE
225943	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1951-07-01	43.18028	22.17611	2	4	Not specified	1670	360	85	FALSE	F22ac	Natural	FALSE	TRUE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.249	1.285	FALSE	FALSE	TRUE	FALSE
225945	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1951-01-01	43.18028	22.17611	2	30	Not specified	1550	180	50	FALSE	E44a	Natural	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.249	1.285	FALSE	FALSE	TRUE	FALSE
225959	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1952-06-01	43.77611	21.89333	2	100	Not specified	1350	360	40	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.35	1.834	FALSE	TRUE	FALSE	TRUE
225973	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1952-06-01	43.77611	21.89333	2	4	Not specified	1350	360	20	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.35	1.834	FALSE	TRUE	FALSE	FALSE
226003	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1980-01-01	43.26944	20.82472	10	100	Not specified	1710	270	75	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.6	2.647	FALSE	TRUE	FALSE	FALSE
226004	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1980-01-01	43.26944	20.82472	10	100	Not specified	1710	270	80	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.6	2.647	FALSE	TRUE	FALSE	FALSE
226005	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1980-01-01	43.26944	20.82472	10	16	Not specified	1700	180	45	FALSE	E12a	Semi-natural	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.6	2.647	FALSE	FALSE	TRUE	FALSE
226034	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1962-01-01	43.29	20.32194	15	400	Not specified	1560	270	20	FALSE	E22	Semi-natural	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.143	1.82	TRUE	FALSE	TRUE	TRUE
226054	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1972-01-01	42.62683	22.26736	3	50	Not specified	1820	NA	NA	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.616	1.649	FALSE	TRUE	FALSE	FALSE
226085	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	2002-01-01	42.62667	22.26722	5	10	Not specified	1700	NA	NA	FALSE	C21a	Natural	FALSE	FALSE	FALSE	TRUE	FALSE	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.616	1.649	FALSE	TRUE	TRUE	FALSE
226119	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	2002-01-01	42.7319	22.3217	5	50	Not specified	1250	NA	NA	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.527	1.359	TRUE	FALSE	FALSE	TRUE
226192	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	2002-01-01	42.73486	22.39473	5	25	Not specified	1300	225	NA	FALSE	E34a	Semi-natural	FALSE	FALSE	TRUE	TRUE	FALSE	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.28	0.631	FALSE	FALSE	TRUE	FALSE
226223	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	2002-01-01	42.73486	22.39473	5	50	Not specified	1250	225	5	FALSE	D22c	Natural	FALSE	FALSE	TRUE	TRUE	FALSE	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.28	0.631	FALSE	TRUE	FALSE	FALSE
226240	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	2002-01-01	42.6506	22.3165	5	25	Not specified	1210	NA	NA	FALSE	D32	Natural	FALSE	TRUE	TRUE	TRUE	FALSE	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.4	0.972	FALSE	TRUE	FALSE	FALSE
226246	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	2002-01-01	42.6506	22.3165	5	50	Not specified	1210	NA	NA	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.4	0.972	FALSE	FALSE	TRUE	FALSE
226475	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	2005-01-01	42.27608	21.72964	2	50	Not specified	320	NA	NA	FALSE	E34b	Semi-natural	FALSE	FALSE	TRUE	TRUE	FALSE	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.3	0.153	FALSE	TRUE	FALSE	FALSE
226846	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1992-01-01	43.545	20.03444	15	40	Not specified	1250	180	40	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	40	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.012	2.463	FALSE	TRUE	FALSE	FALSE
226856	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1992-01-01	43.545	20.03444	15	25	Not specified	1450	45	70	FALSE	Y-Gra	Semi-natural	FALSE	FALSE	TRUE	FALSE	FALSE	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.012	2.463	FALSE	FALSE	TRUE	FALSE
226863	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	2008-01-01	43.45694	21.06611	5	4	Not specified	1900	270	80	FALSE	E11g	Semi-natural	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.41	0.371	TRUE	FALSE	FALSE	TRUE
226936	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1958-01-01	44.17749	22.13761	5	20	Not specified	1100	360	85	FALSE	H32f	Natural	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.846	1.21	TRUE	FALSE	FALSE	TRUE
226965	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1972-05-19	44.9018	21.23662	5	40	Not specified	140	45	2	TRUE	G34a	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.043	-0.121	FALSE	FALSE	TRUE	FALSE
226981	EU-00-019	Balkan Vegetation Database	Europe	Serbia	Temperate midlatitudes	1980-01-01	43.31676	20.83419	5	49	Not specified	1700	180	45	TRUE	?	Natural	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.729	1.893	FALSE	TRUE	FALSE	FALSE
