Observations	PlotObservationID
Plantago atrata, Alchemilla glaucescens, Achillea seidlii, Acinos alpinus, Anthoxanthum odoratum, Asperula cynanchica, Carex caryophyllea, Crepis conyzifolia, Euphorbia amygdaloides, Euphorbia cyparissias, Festuca nigrescens, Geum montanum, Lotus corniculatus, Poa bulbosa, Senecio squalidus, Trifolium repens, Veronica chamaedrys, Campanula patula, Dianthus capitatus, Galium album, Hypericum linarioides	225924
Carex humilis, Dianthus petraeus, Sesleria rigida, Thymus praecox, Anthyllis montana, Anthyllis vulneraria, Arctostaphylos uva-ursi, Campanula rotundifolia, Chamaecytisus triflorus, Cyanus triumfettii, Daphne cneorum, Euphrasia pectinata, Helianthemum nummularium, Helianthemum oelandicum, Hypericum linarioides, Juniperus communis, Minuartia verna, Pedicularis comosa, Pilosella sabina, Primula veris, Veronica austriaca, Arrhenatherum elatius, Asperula cynanchica, Carum graecum, Convallaria majalis, Cotoneaster integerrimus, Linum flavum, Scabiosa columbaria, Thlaspi kovatsii	225933
Dryas octopetala, Androsace lactea, Arctostaphylos uva-ursi, Carex tristis, Carum graecum, Edraianthus serbicus, Galium anisophyllon, Helianthemum oelandicum, Potentilla apennina, Ranunculus montanus, Saxifraga paniculata, Sesleria rigida, Silene pusilla, Cystopteris fragilis, Festuca panciciana, Minuartia verna, Pedicularis comosa, Thymus praecox	225943
Potentilla apennina, Carex humilis, Dianthus petraeus, Draba aizoides, Leucanthemum vulgare, Poa alpina, Saxifraga paniculata, Sedum ochroleucum, Asplenium ruta-muraria, Asplenium viride, Campanula rotundifolia, Carum graecum, Edraianthus serbicus, Erysimum comatum, Genista subcapitata, Helianthemum oelandicum, Hieracium villosum, Sesleria rigida, Silene pusilla	225945
Sesleria rigida, Arctostaphylos uva-ursi, Rosa caesia, Anemone pulsatilla, Anthyllis montana, Anthyllis vulneraria, Bupleurum falcatum, Carex humilis, Chamaecytisus triflorus, Cotoneaster integerrimus, Cyanus triumfettii, Daphne cneorum, Erysimum comatum, Helianthemum nummularium, Hypochaeris maculata, Lotus corniculatus, Polygala major, Ranunculus montanus, Saxifraga paniculata, Scabiosa columbaria, Thymus praecox, Carum graecum, Dactylorhiza sambucina, Dianthus petraeus, Erysimum carniolicum, Genista pilosa	225959
Saxifraga paniculata, Viola grisebachiana, Ranunculus montanus, Seseli rigidum, Asplenium ruta-muraria, Asplenium trichomanes, Campanula rotundifolia, Edraianthus graminifolius, Hieracium bifidum, Lotus corniculatus, Thymus praecox	225973
Helianthemum oelandicum, Aster alpinus, Carex humilis, Edraianthus graminifolius, Saxifraga porophylla, Bromus erectus, Festuca ovina, Leontodon hispidus, Pedicularis comosa, Poa alpina, Saxifraga paniculata, Sedum hispanicum, Sesleria latifolia, Thymus praecox	226003
Helianthemum oelandicum, Dianthus petraeus, Festuca ovina, Saxifraga paniculata, Saxifraga porophylla, Anthyllis vulneraria, Aster alpinus, Bromus erectus, Carex humilis, Edraianthus graminifolius, Linum catharticum, Sesleria latifolia	226004
Edraianthus graminifolius, Festuca ovina, Helianthemum oelandicum, Saxifraga paniculata, Bromus erectus, Euphrasia minima, Poa alpina, Saxifraga porophylla, Anthyllis vulneraria, Carex montana, Helianthemum nummularium, Linum catharticum, Minuartia verna, Pedicularis comosa, Sedum hispanicum, Thymus praecox	226005
Nardus stricta, Carex pilulifera, Genista sagittalis, Achillea millefolium, Agrostis capillaris, Alchemilla xanthochlora, Briza media, Campanula cervicaria, Cerastium brachypetalum, Dactylorhiza sambucina, Deschampsia flexuosa, Euphrasia rostkoviana, Festuca nigrescens, Gentianella bulgarica, Gymnadenia conopsea, Helianthemum nummularium, Hieracium hoppeanum, Hypochaeris maculata, Inula hirta, Leucanthemum vulgare, Linum catharticum, Minuartia verna, Pedicularis comosa, Plantago lanceolata, Podospermum roseum, Potentilla erecta, Primula elatior, Silene sendtneri, Taraxacum officinale, Thymus praecox, Vaccinium myrtillus, Veronica chamaedrys, Botrychium lunaria, Brachypodium pinnatum, Bupleurum, Campanula patula, Dianthus carthusianorum, Galium album, Galium verum, Gentiana utriculosa, Gymnadenia nigra, Hypericum barbatum, Lotus corniculatus, Myosotis alpestris, Rumex acetosella, Scabiosa columbaria, Silene viscaria, Thesium alpinum, Trifolium alpestre, Veratrum album, Verbascum	226034
Arctostaphylos uva-ursi, Hieracium hoppeanum, Antennaria dioica, Aspilia cachimboensis, Deschampsia flexuosa, Erica spiculifolia, Galium verum, Nardus stricta, Vaccinium myrtillus, Alchemilla glaucescens, Carex caryophyllea, Carex ericetorum, Crocus veluchensis, Genista depressa, Genista sagittalis, Helianthemum nummularium, Hypericum tetrapterum, Linum capitatum, Luzula luzuloides, Luzula multiflora, Ornithogalum collinum, Ranunculus montanus, Sesleria latifolia, Thymus praecox, Trinia glauca, Vaccinium vitis-idaea, Viola rupestris	226054
Cardamine amara, Montia fontana	226085
Phragmites australis, Equisetum palustre, Carex pallescens, Crepis paludosa, Juncus effusus, Lysimachia nummularia, Lythrum salicaria, Potentilla erecta, Caltha palustris, Cirsium palustre, Epilobium palustre, Eriophorum angustifolium, Filipendula ulmaria, Galium palustre, Galium verum, Holcus lanatus, Hypericum maculatum, Mentha longifolia, Menyanthes trifoliata, Ranunculus acris, Silene flos-cuculi, Succisa pratensis	226119
Geum rhodopeum, Trollius europaeus, Geum rivale, Potentilla erecta, Alchemilla reniformis, Alchemilla xanthochlora, Dactylorhiza cordigera, Gymnadenia frivaldii, Sanguisorba officinalis, Alchemilla glabra, Blysmus compressus, Campanula patula, Carex flava, Carex nigra, Carex pallescens, Crepis paludosa, Deschampsia cespitosa, Equisetum sylvaticum, Eriophorum latifolium, Gymnadenia conopsea, Hypericum maculatum, Juncus effusus, Mentha longifolia, Myosotis scorpioides, Persicaria bistorta, Scirpus sylvaticus, Veratrum lobelianum	226192
Eriophorum angustifolium, Carex flava, Carex echinata, Equisetum palustre, Parnassia palustris, Pedicularis palustris, Potentilla erecta, Agrostis canina, Briza media, Carex nigra, Carex pallescens, Crepis paludosa, Dactylorhiza cordigera, Equisetum fluviatile, Filipendula ulmaria, Galium album, Geum rivale, Myosotis scorpioides, Ranunculus acris, Sanguisorba officinalis	226223
Drosera rotundifolia, Agrostis canina, Carex echinata, Carex nigra, Comarum palustre, Equisetum fluviatile, Menyanthes trifoliata, Potentilla erecta, Succisa pratensis, Calamagrostis arundinacea, Carex canescens, Carex flava, Carex rostrata, Eriophorum angustifolium, Lysimachia vulgaris, Lythrum salicaria, Parnassia palustris, Pedicularis palustris, Salix aurita	226240
Salix rosmarinifolia, Betula pubescens, Comarum palustre, Lythrum salicaria, Menyanthes trifoliata, Parnassia palustris, Salix aurita, Bidens campylotheca, Bidens tripartita, Carex canescens, Carex echinata, Carex leporina, Drosera rotundifolia, Equisetum fluviatile, Galium palustre, Lysimachia vulgaris, Ranunculus flammula, Salix alba	226246
Beckmannia eruciformis, Eleocharis palustris, Oenanthe fistulosa, Alisma plantago-aquatica, Carex distans, Carex vulpina, Galium palustre, Lysimachia nummularia, Mentha aquatica, Potentilla reptans, Rorippa austriaca, Rumex conglomeratus, Trifolium fragiferum, Iris pseudacorus	226475
Stipa calamagrostis, Aconitum toxicum, Arabis hirsuta, Asplenium ruta-muraria, Bromus erectus, Campanula rotundifolia, Chamaecytisus triflorus, Dianthus petraeus, Draba aizoides, Festuca panciciana, Galium firmum, Juniperus communis, Melica ciliata, Potentilla cinerea, Rhamnus alpina, Saxifraga paniculata, Scabiosa columbaria, Teucrium chamaedrys, Thymus praecox, Vincetoxicum hirundinaria, Aethionema saxatile, Asplenium trichomanes, Leontodon crispus, Polygala supina	226846
