field_1,MGRSid10,center_lon,center_lat,grid20id,Longitude,Latitude,ESy1,Location_u,Releve_are,PlantBert1,PlantBert2,SurveyID,year,FIRST_shor
3305,34TFN80747252,23.220488499999998,43.083901800000000,34σFN43,23.220469999999999,43.083919999999999,E12a,10.000000000000000,16.000000000000000,R1A,U37,SPlotOpen_222129,2008,alpine
3303,34TFN79377339,23.203950800000001,43.092055600000002,34σFN33,23.203900000000001,43.092050000000000,E12a,10.000000000000000,16.000000000000000,R1A,R22,SPlotOpen_222119,2008,alpine
3304,34TFN72757230,23.122328799999998,43.083784299999998,34σFN33,23.122350000000001,43.083799999999997,E12a,10.000000000000000,16.000000000000000,R1A,U37,SPlotOpen_222124,2008,alpine
3428,34TFN70588066,23.098257900000000,43.159505899999999,34σFN34,23.098279999999999,43.159509999999997,Y-Gra,10.000000000000000,16.000000000000000,R1M,R57,SPlotOpen_229549,2011,alpine
3298,34TFN78227326,23.189789300000001,43.091157000000003,34σFN33,23.189789999999999,43.091169999999998,E22,10.000000000000000,16.000000000000000,R1A,R1B,SPlotOpen_221689,2009,alpine
3296,34TFN76817309,23.172423299999998,43.089957400000003,34σFN33,23.172470000000001,43.089970000000001,E22,10.000000000000000,16.000000000000000,R22,R23,SPlotOpen_221687,2009,alpine
3302,34TFN77367272,23.179058000000001,43.086499500000002,34σFN33,23.179010000000002,43.086480000000002,E12a,10.000000000000000,16.000000000000000,R1A,U37,SPlotOpen_222110,2008,alpine
3297,34TFN77227246,23.177256300000000,43.084192600000002,34σFN33,23.177280000000000,43.084200000000003,E12a,10.000000000000000,16.000000000000000,R1A,U37,SPlotOpen_221688,2009,alpine
3429,34TFN68878237,23.077759700000001,43.175277700000002,34σFN34,23.077700000000000,43.175269999999998,Y-Gra,10.000000000000000,16.000000000000000,S22,R44,SPlotOpen_229552,2011,alpine
3430,34TFN68148248,23.068817299999999,43.176430300000000,34σFN34,23.068770000000001,43.176400000000001,F24,10.000000000000000,16.000000000000000,S26,S22,SPlotOpen_229555,2011,alpine
279,34TDM93507235,20.921323699999999,42.203328900000002,34σDM43,20.921278000000001,42.203291999999998,D41a,10.000000000000000,50.000000000000000,Q41,R1F,SPlotOpen_1007467,1996,alpine
2896,34TDL58236975,20.501296300000000,41.278149900000003,34σDL23,20.501289000000000,41.278112999999998,Y-Gra,15.000000000000000,10.000000000000000,R57,R55,SPlotOpen_176121,2012,alpine
2886,34TDL59036659,20.511060900000000,41.249727200000002,34σDL23,20.511092000000001,41.249763000000002,E44b!,15.000000000000000,30.000000000000000,R16,U37,SPlotOpen_176018,2012,alpine
2883,34TDL57716116,20.495682500000001,41.200748300000001,34σDL23,20.495660000000001,41.200780000000002,G16b,15.000000000000000,30.000000000000000,T18,T17,SPlotOpen_175999,2012,alpine
2885,34TDL57446055,20.492504900000000,41.195239500000000,34σDL23,20.492505999999999,41.195197999999998,Y-Gra,15.000000000000000,35.000000000000000,R14,R45,SPlotOpen_176012,2012,alpine
2884,34TDL56176230,20.477234500000002,41.210934999999999,34σDL23,20.477288000000001,41.210940999999998,H32c,15.000000000000000,3.000000000000000,U37,U38,SPlotOpen_176006,2012,alpine
271,34TCP91904181,19.658014099999999,43.721488899999997,34σCP42,19.657959000000002,43.721476000000003,E11j,10.000000000000000,100.000000000000000,R17,R1A,SPlotOpen_1006578,1992,continental
5388,34TCR02295742,18.463023000000000,45.642197600000003,34σCR02,18.463056000000002,45.642221999999997,?,10.000000000000000,,V37,V15,SPlotOpen_326796,2002,continental
254,34TCP74446088,19.436853800000002,43.890377899999997,34σCP33,19.436803999999999,43.890360999999999,E12a,10.000000000000000,,R1A,U37,SPlotOpen_1003848,1992,continental
253,34TCP63446830,19.298058999999999,43.955200300000001,34σCP33,19.298082999999998,43.955159999999999,E21,10.000000000000000,,R21,R22,SPlotOpen_1003839,1992,continental
283,34TEN53590628,21.652348400000001,42.507076499999997,34σEN20,21.652290000000001,42.507095999999997,E1A,10.000000000000000,,R1A,R1B,SPlotOpen_1008031,1993,continental
291,34TEN54959522,21.677617200000000,43.307851399999997,34σEN24,21.677572000000001,43.307875000000003,E63,10.000000000000000,4.000000000000000,U38,V39,SPlotOpen_1009205,2013,continental
289,34TEN41548681,21.511639299999999,43.232985300000003,34σEN24,21.511607999999999,43.232967000000002,E63,10.000000000000000,4.000000000000000,R63,MA241,SPlotOpen_1009170,2012,continental
3426,34TEP05341156,21.066067799999999,43.456972800000003,34σEP00,21.066109999999998,43.456940000000003,E11g,5.000000000000000,4.000000000000000,R16,U37,SPlotOpen_226863,2008,continental
3282,34TEM95180056,22.141336800000001,41.551089200000000,34σEM40,22.141390000000001,41.551110000000001,Y-Gra,10.000000000000000,25.000000000000000,R1B,U37,SPlotOpen_220181,2007,continental
3292,34TEM94070004,22.127948199999999,41.546537600000001,34σEM40,22.127972000000000,41.546542000000002,E12b,10.000000000000000,25.000000000000000,R1B,U37,SPlotOpen_220505,2007,continental
3291,34TEM94130001,22.128662800000001,41.546260400000001,34σEM40,22.128630999999999,41.546294000000003,?,10.000000000000000,25.000000000000000,U3A,R17,SPlotOpen_220504,2007,continental
3280,34TEM94570472,22.134679299999998,41.588624799999998,34σEM40,22.134720000000002,41.588610000000003,Y-Gra,10.000000000000000,25.000000000000000,R1F,V32,SPlotOpen_220175,2007,continental
290,34TEN36798837,21.453247699999999,43.247278799999997,34σEN14,21.453213999999999,43.247292000000002,Y-Gra,10.000000000000000,25.000000000000000,V37,N32,SPlotOpen_1009183,2013,continental
3288,34TEM84766198,22.025201700000000,42.105379499999998,34σEM43,22.025233000000000,42.105417000000003,?,10.000000000000000,100.000000000000000,V37,V38,SPlotOpen_220362,2005,continental
